"user_id","screen_name","description","name","followers_count","category_","url_path","profile_image_url","image"
"369120654","wadodecorrido","Mercedino. Militante. Peronista Kirchnerista. Ministro del Interior. Acá y en Instagram sí soy @wadodecorrido<U+270C><U+0001F3FD>","Wado de Pedro <U+0001F1E6><U+0001F1F7>","331289","national executive","https://raw.githubusercontent.com/guadag12/pen/main/wadodecorrido.rds","http://pbs.twimg.com/profile_images/1381722982045908994/X4lOKNuS_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1381722982045908994/X4lOKNuS_normal.jpg "" height=""52""></img>"
"481432211","MalenaMassa","Mamá de Mili y Toto. Compañera de Sergio. Peronista. Presidenta de @AySA_Oficial Verdad/Justicia/Lealtad/Amor, mis principios. Me agredís, te bloqueo.","Malena Galmarini","129867","national executive","https://raw.githubusercontent.com/guadag12/pen/main/MalenaMassa.rds","http://pbs.twimg.com/profile_images/1376599958850256902/1hW8BOya_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1376599958850256902/1hW8BOya_normal.jpg "" height=""52""></img>"
"53108902","MinTrabajoAR","Ministerio de Trabajo, Empleo y Seguridad Social de la Nación","Ministerio de Trabajo, Empleo y Seguridad Social","338216","national executive","https://raw.githubusercontent.com/guadag12/pen/main/MinTrabajoAR.rds","http://pbs.twimg.com/profile_images/1417481066957398017/8EWVvQFk_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1417481066957398017/8EWVvQFk_normal.jpg "" height=""52""></img>"
"703301022156984320","DeportesAR","Cuenta oficial del deporte de la Argentina.","Deportes Argentina","28542","national executive","https://raw.githubusercontent.com/guadag12/pen/main/DeportesAR.rds","http://pbs.twimg.com/profile_images/1417830042764206080/U-Dt6Ngl_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1417830042764206080/U-Dt6Ngl_normal.jpg "" height=""52""></img>"
"738526767661649920","soniagtarragona","Jefa de Gabinete del Ministerio de Salud de la Nación.
Economista. 
<U+0001F1E6><U+0001F1F7> 
River Plate.
https://t.co/QGUje2g30r","Sonia Tarragona","928","national executive","https://raw.githubusercontent.com/guadag12/pen/main/soniagtarragona.rds","http://pbs.twimg.com/profile_images/1414698033653157888/eRSNk3kE_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1414698033653157888/eRSNk3kE_normal.jpg "" height=""52""></img>"
"768123166921220096","Energia_Ar","Cuenta oficial de la Secretaría de Energía de la República Argentina","Secretaría de Energía","14677","national executive","https://raw.githubusercontent.com/guadag12/pen/main/Energia_Ar.rds","http://pbs.twimg.com/profile_images/1374919289648652291/1p5x2OiQ_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1374919289648652291/1p5x2OiQ_normal.jpg "" height=""52""></img>"
"829043697421533184","mmlosardo","Abogada.","Marcela Losardo","31720","national executive","https://raw.githubusercontent.com/guadag12/pen/main/mmlosardo.rds","http://pbs.twimg.com/profile_images/1375065123405115392/WLyhbVwl_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1375065123405115392/WLyhbVwl_normal.jpg "" height=""52""></img>"
"1008696689337790464","JuanMosquedaok","Diputado Nacional   <U+0001F1E6><U+0001F1F7> Provincia del Chaco <U+0001F331>
https://t.co/PRCSpWsHtI","Juan Mosqueda","288","deputies","https://raw.githubusercontent.com/guadag12/hcdn/main/JuanMosquedaok.rds","http://pbs.twimg.com/profile_images/1009627517311995904/45wEIXEd_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1009627517311995904/45wEIXEd_normal.jpg "" height=""52""></img>"
"101065831","educace","Sanjuanino, papá de mellizos y bostero. Abogado y Diputado Nacional Juntos x el Cambio","Eduardo Cáceres","8934","deputies","https://raw.githubusercontent.com/guadag12/hcdn/main/educace.rds","http://pbs.twimg.com/profile_images/1437854972092243970/QCXv3i4X_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1437854972092243970/QCXv3i4X_normal.jpg "" height=""52""></img>"
"1069556234","mrmartinez55","Diputada Nacional por la Provincia de Buenos Aires @frentedetodos
Militante del proyecto Nacional, Popular, Democrático y Feminista.","Maria Rosa Martinez","5196","deputies","https://raw.githubusercontent.com/guadag12/hcdn/main/mrmartinez55.rds","http://pbs.twimg.com/profile_images/1403418701429366785/6man5xQi_normal.jpg","<img src="" http://pbs.twimg.com/profile_images/1403418701429366785/6man5xQi_normal.jpg "" height=""52""></img>"
